 #_estimators,Max_depth, Max_features, Accuracy, Sensitivity, Specificity, Accuracy, Sensitivity, Specificity
5,4, 'auto',0.8090,0.81,0.80,0.8509,0.88,0.78
5,4,0.3,0.8090,0.81,0.80,0.8509,0.88,0.78
5,4,0.4,0.8174,0.83,0.80,0.8500,0.89,0.77
5,4,0.5,0.8059,0.81,0.80,0.8459,0.89,0.76
5,4,0.6,0.8050,0.81,0.80,0.8509,0.89,0.78
5,4,0.7,0.8060,0.80,0.81,0.8487,0.88,0.79
5,4, None,0.8034,0.79,0.81,0.8506,0.89,0.78
5,8, 'auto',0.7954,0.81,0.79,0.8431,0.88,0.77
5,8,0.3,0.7954,0.81,0.79,0.8431,0.88,0.77
5,8,0.4,0.7849,0.81,0.76,0.8461,0.88,0.78
5,8,0.5,0.7874,0.80,0.78,0.8407,0.87,0.77
5,8,0.6,0.7939,0.80,0.79,0.8355,0.87,0.77
5,8,0.7,0.7999,0.81,0.79,0.8374,0.87,0.77
5,8, None,0.7974,0.79,0.80,0.8366,0.86,0.78
5,16, 'auto',0.7960,0.80,0.79,0.8481,0.88,0.78
5,16,0.3,0.7960,0.80,0.79,0.8481,0.88,0.78
5,16,0.4,0.7883,0.81,0.77,0.8413,0.88,0.77
5,16,0.5,0.7880,0.79,0.78,0.8418,0.87,0.78
5,16,0.6,0.7920,0.80,0.78,0.8359,0.87,0.77
5,16,0.7,0.7964,0.80,0.79,0.8346,0.87,0.77
5,16, None,0.7944,0.79,0.80,0.8364,0.86,0.78
5,None, 'auto',0.7960,0.80,0.79,0.8481,0.88,0.78
5,None,0.3,0.7960,0.80,0.79,0.8481,0.88,0.78
5,None,0.4,0.7883,0.81,0.77,0.8413,0.88,0.77
5,None,0.5,0.7880,0.79,0.78,0.8418,0.87,0.78
5,None,0.6,0.7920,0.80,0.78,0.8359,0.87,0.77
5,None,0.7,0.7964,0.80,0.79,0.8346,0.87,0.77
5,None, None,0.7944,0.79,0.80,0.8364,0.86,0.78
10,4, 'auto',0.8160,0.81,0.82,0.8645,0.90,0.79
10,4,0.3,0.8160,0.81,0.82,0.8645,0.90,0.79
10,4,0.4,0.8150,0.82,0.81,0.8580,0.90,0.78
10,4,0.5,0.8090,0.82,0.80,0.8548,0.90,0.77
10,4,0.6,0.8080,0.81,0.81,0.8608,0.90,0.78
10,4,0.7,0.8090,0.81,0.81,0.8554,0.89,0.78
10,4, None,0.8085,0.81,0.81,0.8548,0.89,0.78
10,8, 'auto',0.8024,0.79,0.81,0.8524,0.88,0.80
10,8,0.3,0.8024,0.79,0.81,0.8524,0.88,0.80
10,8,0.4,0.7944,0.79,0.80,0.8515,0.88,0.80
10,8,0.5,0.8035,0.80,0.81,0.8470,0.87,0.79
10,8,0.6,0.7984,0.79,0.80,0.8526,0.88,0.81
10,8,0.7,0.8005,0.79,0.81,0.8457,0.87,0.80
10,8, None,0.7990,0.79,0.81,0.8446,0.86,0.81
10,16, 'auto',0.8040,0.77,0.83,0.8494,0.87,0.82
10,16,0.3,0.8040,0.77,0.83,0.8494,0.87,0.82
10,16,0.4,0.8004,0.78,0.82,0.8476,0.86,0.81
10,16,0.5,0.8065,0.79,0.82,0.8485,0.87,0.81
10,16,0.6,0.7999,0.78,0.82,0.8474,0.87,0.81
10,16,0.7,0.7940,0.77,0.82,0.8446,0.86,0.81
10,16, None,0.8019,0.77,0.83,0.8420,0.85,0.82
10,None, 'auto',0.8040,0.77,0.83,0.8494,0.87,0.82
10,None,0.3,0.8040,0.77,0.83,0.8494,0.87,0.82
10,None,0.4,0.8004,0.78,0.82,0.8476,0.86,0.81
10,None,0.5,0.8065,0.79,0.82,0.8485,0.87,0.81
10,None,0.6,0.7999,0.78,0.82,0.8474,0.87,0.81
10,None,0.7,0.7940,0.77,0.82,0.8446,0.86,0.81
10,None, None,0.8019,0.77,0.83,0.8420,0.85,0.82
20,4, 'auto',0.8145,0.83,0.80,0.8632,0.90,0.78
20,4,0.3,0.8145,0.83,0.80,0.8632,0.90,0.78
20,4,0.4,0.8215,0.83,0.81,0.8617,0.90,0.78
20,4,0.5,0.8130,0.83,0.80,0.8574,0.90,0.77
20,4,0.6,0.8099,0.82,0.80,0.8602,0.90,0.77
20,4,0.7,0.8141,0.82,0.80,0.8569,0.90,0.77
20,4, None,0.8120,0.82,0.80,0.8539,0.89,0.78
20,8, 'auto',0.8079,0.81,0.80,0.8617,0.89,0.80
20,8,0.3,0.8079,0.81,0.80,0.8617,0.89,0.80
20,8,0.4,0.8065,0.82,0.79,0.8589,0.89,0.79
20,8,0.5,0.8080,0.82,0.80,0.8548,0.89,0.79
20,8,0.6,0.8055,0.81,0.80,0.8550,0.88,0.80
20,8,0.7,0.8060,0.81,0.81,0.8591,0.89,0.81
20,8, None,0.8059,0.81,0.81,0.8511,0.87,0.81
20,16, 'auto',0.8105,0.81,0.81,0.8587,0.88,0.81
20,16,0.3,0.8105,0.81,0.81,0.8587,0.88,0.81
20,16,0.4,0.8070,0.80,0.81,0.8576,0.88,0.81
20,16,0.5,0.8045,0.81,0.80,0.8539,0.88,0.80
20,16,0.6,0.8080,0.81,0.81,0.8496,0.88,0.79
20,16,0.7,0.8045,0.80,0.81,0.8561,0.88,0.81
20,16, None,0.8054,0.80,0.81,0.8515,0.87,0.82
20,None, 'auto',0.8105,0.81,0.81,0.8587,0.88,0.81
20,None,0.3,0.8105,0.81,0.81,0.8587,0.88,0.81
20,None,0.4,0.8070,0.80,0.81,0.8576,0.88,0.81
20,None,0.5,0.8045,0.81,0.80,0.8539,0.88,0.80
20,None,0.6,0.8080,0.81,0.81,0.8496,0.88,0.79
20,None,0.7,0.8045,0.80,0.81,0.8561,0.88,0.81
20,None, None,0.8054,0.80,0.81,0.8515,0.87,0.82
30,4, 'auto',0.8154,0.83,0.80,0.8660,0.91,0.78
30,4,0.3,0.8154,0.83,0.80,0.8660,0.91,0.78
30,4,0.4,0.8200,0.83,0.81,0.8619,0.90,0.78
30,4,0.5,0.8115,0.82,0.80,0.8619,0.90,0.78
30,4,0.6,0.8115,0.82,0.80,0.8595,0.90,0.78
30,4,0.7,0.8160,0.83,0.80,0.8604,0.90,0.78
30,4, None,0.8210,0.84,0.81,0.8532,0.89,0.78
30,8, 'auto',0.8110,0.82,0.80,0.8632,0.90,0.79
30,8,0.3,0.8110,0.82,0.80,0.8632,0.90,0.79
30,8,0.4,0.8105,0.83,0.79,0.8597,0.89,0.79
30,8,0.5,0.8105,0.82,0.80,0.8587,0.89,0.80
30,8,0.6,0.8080,0.82,0.80,0.8558,0.89,0.79
30,8,0.7,0.8090,0.81,0.80,0.8576,0.89,0.80
30,8, None,0.8120,0.82,0.81,0.8563,0.88,0.81
30,16, 'auto',0.8170,0.82,0.81,0.8626,0.89,0.80
30,16,0.3,0.8170,0.82,0.81,0.8626,0.89,0.80
30,16,0.4,0.8085,0.81,0.81,0.8550,0.88,0.80
30,16,0.5,0.8096,0.82,0.80,0.8578,0.88,0.81
30,16,0.6,0.8090,0.82,0.80,0.8539,0.88,0.80
30,16,0.7,0.8085,0.81,0.81,0.8571,0.88,0.81
30,16, None,0.8125,0.81,0.82,0.8567,0.88,0.82
30,None, 'auto',0.8170,0.82,0.81,0.8626,0.89,0.80
30,None,0.3,0.8170,0.82,0.81,0.8626,0.89,0.80
30,None,0.4,0.8085,0.81,0.81,0.8550,0.88,0.80
30,None,0.5,0.8096,0.82,0.80,0.8578,0.88,0.81
30,None,0.6,0.8090,0.82,0.80,0.8539,0.88,0.80
30,None,0.7,0.8085,0.81,0.81,0.8571,0.88,0.81
30,None, None,0.8125,0.81,0.82,0.8567,0.88,0.82
