 #_estimators,Max_depth, Max_features,Mean Threshold,Std. Threshold,Optimal Thresholds,Accuracy,Sensitivity,Specificity
5,4, 'auto',0.508,0.020,"[0.5, 0.5, 0.55, 0.5, 0.5, 0.5]",0.8090,0.81,0.81
5,4,0.3,0.508,0.020,"[0.5, 0.5, 0.55, 0.5, 0.5, 0.5]",0.8090,0.81,0.81
5,4,0.4,0.533,0.041,"[0.55, 0.5, 0.6, 0.5, 0.55, 0.5]",0.8079,0.80,0.81
5,4,0.5,0.517,0.026,"[0.55, 0.5, 0.5, 0.5, 0.55, 0.5]",0.8060,0.80,0.81
5,4,0.6,0.500,0.032,"[0.5, 0.5, 0.5, 0.45, 0.5, 0.55]",0.8024,0.80,0.80
5,4,0.7,0.492,0.038,"[0.45, 0.5, 0.55, 0.45, 0.5, 0.5]",0.8050,0.81,0.80
5,4, None,0.500,0.055,"[0.5, 0.45, 0.6, 0.45, 0.5, 0.5]",0.8004,0.79,0.81
5,8, 'auto',0.517,0.041,"[0.5, 0.5, 0.55, 0.55, 0.55, 0.45]",0.7999,0.80,0.80
5,8,0.3,0.517,0.041,"[0.5, 0.5, 0.55, 0.55, 0.55, 0.45]",0.7999,0.80,0.80
5,8,0.4,0.542,0.049,"[0.55, 0.6, 0.55, 0.55, 0.55, 0.45]",0.7879,0.80,0.78
5,8,0.5,0.500,0.055,"[0.55, 0.45, 0.55, 0.55, 0.45, 0.45]",0.7914,0.80,0.79
5,8,0.6,0.508,0.038,"[0.5, 0.5, 0.5, 0.55, 0.45, 0.55]",0.7939,0.80,0.79
5,8,0.7,0.508,0.049,"[0.5, 0.55, 0.55, 0.45, 0.45, 0.55]",0.7999,0.81,0.79
5,8, None,0.500,0.055,"[0.45, 0.55, 0.45, 0.45, 0.55, 0.55]",0.7954,0.80,0.80
5,16, 'auto',0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7960,0.80,0.79
5,16,0.3,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7960,0.80,0.79
5,16,0.4,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7883,0.81,0.77
5,16,0.5,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7880,0.79,0.78
5,16,0.6,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7920,0.80,0.78
5,16,0.7,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7964,0.80,0.79
5,16, None,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7944,0.79,0.80
5,None, 'auto',0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7960,0.80,0.79
5,None,0.3,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7960,0.80,0.79
5,None,0.4,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7883,0.81,0.77
5,None,0.5,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7880,0.79,0.78
5,None,0.6,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7920,0.80,0.78
5,None,0.7,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7964,0.80,0.79
5,None, None,0.450,0.000,"[0.45, 0.45, 0.45, 0.45, 0.45, 0.45]",0.7944,0.79,0.80
10,4, 'auto',0.500,0.032,"[0.55, 0.5, 0.5, 0.45, 0.5, 0.5]",0.8180,0.82,0.82
10,4,0.3,0.500,0.032,"[0.55, 0.5, 0.5, 0.45, 0.5, 0.5]",0.8180,0.82,0.82
10,4,0.4,0.508,0.038,"[0.5, 0.5, 0.55, 0.45, 0.55, 0.5]",0.8160,0.82,0.81
10,4,0.5,0.517,0.026,"[0.55, 0.5, 0.55, 0.5, 0.5, 0.5]",0.8115,0.81,0.81
10,4,0.6,0.500,0.032,"[0.5, 0.5, 0.55, 0.45, 0.5, 0.5]",0.8045,0.81,0.80
10,4,0.7,0.508,0.049,"[0.5, 0.5, 0.6, 0.45, 0.5, 0.5]",0.8080,0.81,0.81
10,4, None,0.517,0.052,"[0.55, 0.5, 0.6, 0.45, 0.5, 0.5]",0.8086,0.80,0.81
10,8, 'auto',0.500,0.000,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.8055,0.81,0.80
10,8,0.3,0.500,0.000,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.8055,0.81,0.80
10,8,0.4,0.533,0.026,"[0.55, 0.55, 0.55, 0.5, 0.55, 0.5]",0.7930,0.79,0.80
10,8,0.5,0.533,0.052,"[0.45, 0.55, 0.6, 0.55, 0.5, 0.55]",0.8035,0.80,0.81
10,8,0.6,0.525,0.027,"[0.5, 0.55, 0.55, 0.5, 0.5, 0.55]",0.8009,0.80,0.80
10,8,0.7,0.525,0.027,"[0.5, 0.55, 0.55, 0.5, 0.5, 0.55]",0.8050,0.81,0.80
10,8, None,0.508,0.038,"[0.5, 0.55, 0.5, 0.45, 0.5, 0.55]",0.7990,0.80,0.79
10,16, 'auto',0.517,0.052,"[0.55, 0.55, 0.45, 0.55, 0.45, 0.55]",0.8074,0.80,0.82
10,16,0.3,0.517,0.052,"[0.55, 0.55, 0.45, 0.55, 0.45, 0.55]",0.8074,0.80,0.82
10,16,0.4,0.533,0.041,"[0.55, 0.55, 0.55, 0.55, 0.55, 0.45]",0.7995,0.79,0.81
10,16,0.5,0.533,0.041,"[0.45, 0.55, 0.55, 0.55, 0.55, 0.55]",0.8080,0.80,0.82
10,16,0.6,0.517,0.052,"[0.55, 0.55, 0.55, 0.45, 0.45, 0.55]",0.7989,0.80,0.80
10,16,0.7,0.533,0.041,"[0.55, 0.55, 0.55, 0.55, 0.45, 0.55]",0.7964,0.78,0.81
10,16, None,0.500,0.055,"[0.55, 0.55, 0.45, 0.45, 0.45, 0.55]",0.8004,0.80,0.80
10,None, 'auto',0.517,0.052,"[0.55, 0.55, 0.45, 0.55, 0.45, 0.55]",0.8074,0.80,0.82
10,None,0.3,0.517,0.052,"[0.55, 0.55, 0.45, 0.55, 0.45, 0.55]",0.8074,0.80,0.82
10,None,0.4,0.533,0.041,"[0.55, 0.55, 0.55, 0.55, 0.55, 0.45]",0.7995,0.79,0.81
10,None,0.5,0.533,0.041,"[0.45, 0.55, 0.55, 0.55, 0.55, 0.55]",0.8080,0.80,0.82
10,None,0.6,0.517,0.052,"[0.55, 0.55, 0.55, 0.45, 0.45, 0.55]",0.7989,0.80,0.80
10,None,0.7,0.533,0.041,"[0.55, 0.55, 0.55, 0.55, 0.45, 0.55]",0.7964,0.78,0.81
10,None, None,0.500,0.055,"[0.55, 0.55, 0.45, 0.45, 0.45, 0.55]",0.8004,0.80,0.80
20,4, 'auto',0.525,0.027,"[0.55, 0.5, 0.55, 0.5, 0.5, 0.55]",0.8115,0.81,0.81
20,4,0.3,0.525,0.027,"[0.55, 0.5, 0.55, 0.5, 0.5, 0.55]",0.8115,0.81,0.81
20,4,0.4,0.533,0.041,"[0.55, 0.5, 0.6, 0.5, 0.55, 0.5]",0.8155,0.81,0.82
20,4,0.5,0.525,0.027,"[0.55, 0.5, 0.55, 0.5, 0.5, 0.55]",0.8125,0.81,0.82
20,4,0.6,0.508,0.020,"[0.5, 0.5, 0.55, 0.5, 0.5, 0.5]",0.8104,0.81,0.81
20,4,0.7,0.525,0.042,"[0.55, 0.5, 0.6, 0.5, 0.5, 0.5]",0.8146,0.81,0.82
20,4, None,0.517,0.052,"[0.55, 0.5, 0.6, 0.45, 0.5, 0.5]",0.8101,0.82,0.80
20,8, 'auto',0.517,0.026,"[0.55, 0.5, 0.5, 0.5, 0.5, 0.55]",0.8094,0.82,0.80
20,8,0.3,0.517,0.026,"[0.55, 0.5, 0.5, 0.5, 0.5, 0.55]",0.8094,0.82,0.80
20,8,0.4,0.542,0.020,"[0.55, 0.55, 0.55, 0.55, 0.55, 0.5]",0.8045,0.80,0.80
20,8,0.5,0.533,0.026,"[0.5, 0.55, 0.55, 0.55, 0.5, 0.55]",0.8070,0.81,0.80
20,8,0.6,0.525,0.027,"[0.5, 0.55, 0.55, 0.5, 0.5, 0.55]",0.8085,0.81,0.81
20,8,0.7,0.517,0.026,"[0.5, 0.5, 0.55, 0.5, 0.5, 0.55]",0.8085,0.81,0.81
20,8, None,0.508,0.020,"[0.5, 0.55, 0.5, 0.5, 0.5, 0.5]",0.8044,0.81,0.80
20,16, 'auto',0.525,0.027,"[0.55, 0.55, 0.5, 0.5, 0.5, 0.55]",0.8105,0.82,0.80
20,16,0.3,0.525,0.027,"[0.55, 0.55, 0.5, 0.5, 0.5, 0.55]",0.8105,0.82,0.80
20,16,0.4,0.533,0.026,"[0.55, 0.5, 0.55, 0.55, 0.55, 0.5]",0.8070,0.81,0.80
20,16,0.5,0.550,0.000,"[0.55, 0.55, 0.55, 0.55, 0.55, 0.55]",0.8045,0.81,0.80
20,16,0.6,0.550,0.000,"[0.55, 0.55, 0.55, 0.55, 0.55, 0.55]",0.8080,0.81,0.81
20,16,0.7,0.542,0.020,"[0.55, 0.55, 0.55, 0.55, 0.5, 0.55]",0.8055,0.81,0.80
20,16, None,0.525,0.027,"[0.5, 0.55, 0.55, 0.55, 0.5, 0.5]",0.8069,0.81,0.80
20,None, 'auto',0.525,0.027,"[0.55, 0.55, 0.5, 0.5, 0.5, 0.55]",0.8105,0.82,0.80
20,None,0.3,0.525,0.027,"[0.55, 0.55, 0.5, 0.5, 0.5, 0.55]",0.8105,0.82,0.80
20,None,0.4,0.533,0.026,"[0.55, 0.5, 0.55, 0.55, 0.55, 0.5]",0.8070,0.81,0.80
20,None,0.5,0.550,0.000,"[0.55, 0.55, 0.55, 0.55, 0.55, 0.55]",0.8045,0.81,0.80
20,None,0.6,0.550,0.000,"[0.55, 0.55, 0.55, 0.55, 0.55, 0.55]",0.8080,0.81,0.81
20,None,0.7,0.542,0.020,"[0.55, 0.55, 0.55, 0.55, 0.5, 0.55]",0.8055,0.81,0.80
20,None, None,0.525,0.027,"[0.5, 0.55, 0.55, 0.55, 0.5, 0.5]",0.8069,0.81,0.80
30,4, 'auto',0.525,0.027,"[0.55, 0.5, 0.55, 0.5, 0.5, 0.55]",0.8150,0.81,0.82
30,4,0.3,0.525,0.027,"[0.55, 0.5, 0.55, 0.5, 0.5, 0.55]",0.8150,0.81,0.82
30,4,0.4,0.525,0.052,"[0.55, 0.5, 0.6, 0.45, 0.55, 0.5]",0.8160,0.82,0.81
30,4,0.5,0.517,0.026,"[0.55, 0.5, 0.55, 0.5, 0.5, 0.5]",0.8110,0.81,0.81
30,4,0.6,0.517,0.041,"[0.5, 0.55, 0.55, 0.45, 0.55, 0.5]",0.8115,0.82,0.81
30,4,0.7,0.525,0.052,"[0.55, 0.5, 0.6, 0.45, 0.55, 0.5]",0.8100,0.82,0.80
30,4, None,0.525,0.052,"[0.55, 0.5, 0.6, 0.45, 0.55, 0.5]",0.8120,0.81,0.81
30,8, 'auto',0.525,0.027,"[0.55, 0.5, 0.55, 0.5, 0.5, 0.55]",0.8130,0.82,0.81
30,8,0.3,0.525,0.027,"[0.55, 0.5, 0.55, 0.5, 0.5, 0.55]",0.8130,0.82,0.81
30,8,0.4,0.533,0.026,"[0.55, 0.55, 0.55, 0.5, 0.55, 0.5]",0.8070,0.81,0.80
30,8,0.5,0.517,0.026,"[0.5, 0.55, 0.55, 0.5, 0.5, 0.5]",0.8111,0.81,0.81
30,8,0.6,0.533,0.026,"[0.55, 0.55, 0.55, 0.5, 0.5, 0.55]",0.8070,0.81,0.81
30,8,0.7,0.500,0.000,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",0.8125,0.82,0.80
30,8, None,0.517,0.026,"[0.5, 0.55, 0.55, 0.5, 0.5, 0.5]",0.8120,0.81,0.81
30,16, 'auto',0.525,0.027,"[0.55, 0.55, 0.5, 0.5, 0.5, 0.55]",0.8115,0.81,0.81
30,16,0.3,0.525,0.027,"[0.55, 0.55, 0.5, 0.5, 0.5, 0.55]",0.8115,0.81,0.81
30,16,0.4,0.533,0.026,"[0.55, 0.55, 0.55, 0.55, 0.5, 0.5]",0.8095,0.80,0.81
30,16,0.5,0.533,0.026,"[0.55, 0.55, 0.55, 0.5, 0.55, 0.5]",0.8101,0.81,0.81
30,16,0.6,0.542,0.020,"[0.55, 0.55, 0.55, 0.5, 0.55, 0.55]",0.8055,0.80,0.82
30,16,0.7,0.525,0.027,"[0.55, 0.55, 0.55, 0.5, 0.5, 0.5]",0.8080,0.81,0.81
30,16, None,0.508,0.020,"[0.5, 0.55, 0.5, 0.5, 0.5, 0.5]",0.8104,0.82,0.80
30,None, 'auto',0.525,0.027,"[0.55, 0.55, 0.5, 0.5, 0.5, 0.55]",0.8115,0.81,0.81
30,None,0.3,0.525,0.027,"[0.55, 0.55, 0.5, 0.5, 0.5, 0.55]",0.8115,0.81,0.81
30,None,0.4,0.533,0.026,"[0.55, 0.55, 0.55, 0.55, 0.5, 0.5]",0.8095,0.80,0.81
30,None,0.5,0.533,0.026,"[0.55, 0.55, 0.55, 0.5, 0.55, 0.5]",0.8101,0.81,0.81
30,None,0.6,0.542,0.020,"[0.55, 0.55, 0.55, 0.5, 0.55, 0.55]",0.8055,0.80,0.82
30,None,0.7,0.525,0.027,"[0.55, 0.55, 0.55, 0.5, 0.5, 0.5]",0.8080,0.81,0.81
30,None, None,0.508,0.020,"[0.5, 0.55, 0.5, 0.5, 0.5, 0.5]",0.8104,0.82,0.80
